"Address","Type","Category","Occurrences","Priority","Suggested_Label","Example_Contexts"
"$4216","Hardware","CPU Registers/DMA/PPU","4","Low","RDMPYL","graphics_engine_historical.asm:adc $4216; graphics_engine_historical.asm:adc $4216; graphics_engine.asm:adc $4216"
"$0003","WRAM","Zero Page (Direct Page)","4","Low","var_0003","graphics_engine_historical.asm:sta $0003; graphics_engine_historical.asm:sta $0003; graphics_engine.asm:sta $0003"
"$0C80","WRAM","WRAM (Low)","4","Low","wram_0c80","graphics_engine_historical.asm:jsl $0c8000; graphics_engine_historical.asm:jsl $0c8000; graphics_engine.asm:jsl $0c8000"
"$1A3C","WRAM","WRAM (Low)","4","Low","wram_1a3c","graphics_engine_historical.asm:sta $1a3c; graphics_engine_historical.asm:lsr $1a3c; graphics_engine.asm:sta $1a3c"
"$F280","ROM","ROM (Bank dependent)","4","Low","rom_f280","graphics_engine_historical.asm:lda $f280; graphics_engine_historical.asm:lda $f280; graphics_engine.asm:lda $f280"
"$0B82","WRAM","WRAM (Low)","4","Low","wram_0b82","graphics_engine_historical.asm:jsl $0b8223; graphics_engine_historical.asm:jsl $0b82aa; graphics_engine.asm:jsl $0b8223"
"$4303","Hardware","CPU Registers/DMA/PPU","2","Low","hw_4303","graphics_engine_historical.asm:stx $4303; graphics_engine.asm:stx $4303"
"$4301","Hardware","CPU Registers/DMA/PPU","2","Low","hw_4301","text_engine_historical.asm:sta $4301; text_engine.asm:sta $4301"
"$2183","PPU","PPU Registers","2","Low","ppu_2183","graphics_engine_historical.asm:sta $2183; graphics_engine.asm:sta $2183"
"$83A1","ROM","ROM (Bank dependent)","2","Low","rom_83a1","graphics_engine_historical.asm:lda $83a1; graphics_engine.asm:lda $83a1"
"$7F2F","Other","Expansion","2","Low","addr_7f2f","text_engine_historical.asm:sta $7f2f9c; text_engine.asm:sta $7f2f9c"
"$F99F","ROM","ROM (Bank dependent)","2","Low","rom_f99f","graphics_engine_historical.asm:jsr $f99f; graphics_engine.asm:jsr $f99f"
"$F977","ROM","ROM (Bank dependent)","2","Low","rom_f977","graphics_engine_historical.asm:jsr $f977; graphics_engine.asm:jsr $f977"
"$F8DA","ROM","ROM (Bank dependent)","2","Low","rom_f8da","graphics_engine_historical.asm:jsr $f8da; graphics_engine.asm:jsr $f8da"
"$F8A5","ROM","ROM (Bank dependent)","2","Low","rom_f8a5","graphics_engine_historical.asm:jsr $f8a5; graphics_engine.asm:jsr $f8a5"
"$F891","ROM","ROM (Bank dependent)","2","Low","rom_f891","graphics_engine_historical.asm:lda $f891; graphics_engine.asm:lda $f891"
"$E76A","ROM","ROM (Bank dependent)","2","Low","rom_e76a","graphics_engine_historical.asm:jsr $e76a; graphics_engine.asm:jsr $e76a"
"$E61C","ROM","ROM (Bank dependent)","2","Low","rom_e61c","graphics_engine_historical.asm:jsr $e61c; graphics_engine.asm:jsr $e61c"
"$D8E4","ROM","ROM (Bank dependent)","2","Low","rom_d8e4","graphics_engine_historical.asm:lda $d8e4; graphics_engine.asm:lda $d8e4"
"$C8A8","ROM","ROM (Bank dependent)","2","Low","rom_c8a8","graphics_engine_historical.asm:jsr $c8a8; graphics_engine.asm:jsr $c8a8"
"$C839","ROM","ROM (Bank dependent)","2","Low","rom_c839","graphics_engine_historical.asm:jsr $c839; graphics_engine.asm:jsr $c839"
"$C750","ROM","ROM (Bank dependent)","2","Low","rom_c750","graphics_engine_historical.asm:jsr $c750; graphics_engine.asm:jsr $c750"
"$AF55","ROM","ROM (Bank dependent)","2","Low","rom_af55","graphics_engine_historical.asm:jsr $af55; graphics_engine.asm:jsr $af55"
"$A403","ROM","ROM (Bank dependent)","2","Low","rom_a403","graphics_engine_historical.asm:jsr $a403; graphics_engine.asm:jsr $a403"
"$A226","ROM","ROM (Bank dependent)","2","Low","rom_a226","graphics_engine_historical.asm:jsr $a226; graphics_engine.asm:jsr $a226"
"$A08A","ROM","ROM (Bank dependent)","2","Low","rom_a08a","graphics_engine_historical.asm:jsr $a08a; graphics_engine.asm:jsr $a08a"
"$9FAE","ROM","ROM (Bank dependent)","2","Low","rom_9fae","graphics_engine_historical.asm:jsr $9fae; graphics_engine.asm:jsr $9fae"
"$8E06","ROM","ROM (Bank dependent)","2","Low","rom_8e06","graphics_engine_historical.asm:jsr $8e06; graphics_engine.asm:jsr $8e06"
"$7F80","Other","Expansion","2","Low","addr_7f80","graphics_engine_historical.asm:lda $7f8000; graphics_engine.asm:lda $7f8000"
"$7FD0","Other","Expansion","2","Low","addr_7fd0","graphics_engine_historical.asm:lda $7fd0f4; graphics_engine.asm:lda $7fd0f4"
"$7FF2","Other","Expansion","2","Low","addr_7ff2","graphics_engine_historical.asm:lda $7ff274; graphics_engine.asm:lda $7ff274"
"$8000","ROM","ROM (Bank dependent)","2","Low","rom_8000","graphics_engine_historical.asm:lda $8000; graphics_engine.asm:lda $8000"
"$81DB","ROM","ROM (Bank dependent)","2","Low","rom_81db","graphics_engine_historical.asm:jsr $81db; graphics_engine.asm:jsr $81db"
"$82CF","ROM","ROM (Bank dependent)","2","Low","rom_82cf","graphics_engine_historical.asm:jsr $82cf; graphics_engine.asm:jsr $82cf"
"$7F2D","Other","Expansion","2","Low","addr_7f2d","text_engine_historical.asm:sta $7f2dd2; text_engine.asm:sta $7f2dd2"
"$839E","ROM","ROM (Bank dependent)","2","Low","rom_839e","graphics_engine_historical.asm:lda $839e; graphics_engine.asm:lda $839e"
"$84E0","ROM","ROM (Bank dependent)","2","Low","rom_84e0","graphics_engine_historical.asm:jsr $84e0; graphics_engine.asm:jsr $84e0"
"$8672","ROM","ROM (Bank dependent)","2","Low","rom_8672","graphics_engine_historical.asm:jsr $8672; graphics_engine.asm:jsr $8672"
"$88C4","ROM","ROM (Bank dependent)","2","Low","rom_88c4","graphics_engine_historical.asm:adc $88c4; graphics_engine.asm:adc $88c4"
"$88C5","ROM","ROM (Bank dependent)","2","Low","rom_88c5","graphics_engine_historical.asm:adc $88c5; graphics_engine.asm:adc $88c5"
"$8B75","ROM","ROM (Bank dependent)","2","Low","rom_8b75","graphics_engine_historical.asm:jsr $8b75; graphics_engine.asm:jsr $8b75"
"$8B82","ROM","ROM (Bank dependent)","2","Low","rom_8b82","graphics_engine_historical.asm:jsr $8b82; graphics_engine.asm:jsr $8b82"
"$839F","ROM","ROM (Bank dependent)","2","Low","rom_839f","graphics_engine_historical.asm:ldy $839f; graphics_engine.asm:ldy $839f"
"$94CC","ROM","ROM (Bank dependent)","2","Low","rom_94cc","graphics_engine_historical.asm:jsr $94cc; graphics_engine.asm:jsr $94cc"
"$19F0","WRAM","WRAM (Low)","2","Low","wram_19f0","graphics_engine_historical.asm:lda $19f0; graphics_engine.asm:lda $19f0"
"$2100","PPU","PPU Registers","2","Low","INIDISP","ffmq_hybrid.asm:sta $2100; ffmq_minimal.asm:sta $2100"
"$1912","WRAM","WRAM (Low)","2","Low","wram_1912","graphics_engine_historical.asm:lda $1912; graphics_engine.asm:lda $1912"
"$1911","WRAM","WRAM (Low)","2","Low","wram_1911","graphics_engine_historical.asm:lda $1911; graphics_engine.asm:lda $1911"
